"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","rdf_comment","oio_related_synonym","oio_synonym","oio_narrow_synonym","iao_alternative_term","iao_preferred_label","iao_elucidation","oio_broad_synonym","apollo_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom"
"http://purl.obolibrary.org/obo/NCIT_C25464","['Country']","","","['A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states.']","","['Damion\'s note: countries are considered material entities, but at moment ENVO ""national geopolitical entity"" is a site. It will need to be moved to a material entity in order for countries to be placed under it. For now, we use NCIT\'s ""Country"" term.']","","","","","","","","","['country', 'country/socio-demographics', 'pre-accession country', 'North Macedonia', 'Turkey', 'Albania', 'Serbia']",7,7,24.559943688230742,5.7150227999064525,71.72084857875653,""
"http://purl.obolibrary.org/obo/GAZ_00002953","['Albania']","","","['A country in South Eastern Europe. Albania is bordered by Greece to the south-east, Montenegro to the north, Kosovo to the northeast, and the Republic of Macedonia to the east. It has a coast on the Adriatic Sea to the west, and on the Ionian Sea to the southwest. From the Strait of Otranto, Albania is less than 100 km from Italy. Albania is divided into 12 administrative divisions called (Albanian: official qark/qarku, but often prefekture/prefektura Counties), 36 districts (Rrethe) and 351 municipalities (Bashkia) and communes (Komuna).']","['Republic of Albania', 'Republika e Shqiperise', 'Shqiperia']","['LanguaL curation note: US FDA 1995 Code:  AL']","","","","['albania']","","","","","['Albania']",1,1,54.126836960458405,54.126836960458405,54.126836960458405,""
"http://purl.obolibrary.org/obo/GAZ_00002957","['Serbia']","","","['A landlocked country in Central and Southeastern Europe, covering the southern part of the Pannonian Plain and the central part of the Balkan Peninsula. It is bordered by Hungary to the north; Romania and Bulgaria to the east; Republic of Macedonia, Montenegro to the south; Croatia and Bosnia and Herzegovina to the west. The capital is Belgrade. Serbia is divided into 29 districts plus the City of Belgrade. The districts and the city of Belgrade are further divided into municipalities. Serbia has two autonomous provinces: Kosovo and Metohija in the south (5 districts, 30 municipalities), and Vojvodina in the north (7 districts, 46 municipalities).']","['Republic of Serbia', 'Republika Srbija']","","","","","['serbia']","","","","","['Serbia']",1,1,44.1138224737131,44.1138224737131,44.1138224737131,""
"http://purl.obolibrary.org/obo/GAZ_00000558","['Turkey']","","","['A Eurasian country that stretches across the Anatolian peninsula in western Asia and Thrace (Rumelia) in the Balkan region of southeastern Europe. Turkey borders eight countries: Bulgaria to the northwest; Greece to the west, Georgia to the northeast; Armenia, Azerbaijan (the exclave of Nakhichevan), and Iran to the east; and Iraq and Syria to the southeast. The Mediterranean Sea and Cyprus are to the south; the Aegean Sea and Archipelago are to the west; and the Black Sea is to the north. Separating Anatolia and Thrace are the Sea of Marmara and the Turkish Straits (the Bosporus and the Dardanelles), which are commonly reckoned to delineate the border between Asia and Europe, thereby making Turkey transcontinental. The territory of Turkey is subdivided into 81 provinces for administrative purposes. The provinces are organized into 7 regions for census purposes; however, they do not represent an administrative structure. Each province is divided into districts, for a total of 923 districts.']","['Republic of Turkey', 'Turkiye Cumhuriyeti', 'Turquia {language: Portuguese}']","['LanguaL curation note: US FDA 1995 Code:  TR']","","","","['turkey']","","","","","['Turkey']",1,1,39.869383546514044,39.869383546514044,39.869383546514044,""
"http://purl.obolibrary.org/obo/GAZ_00006898","['Montenegro']","","","['A country located in Southeastern Europe. It has a coast on the Adriatic Sea to the south and borders Croatia to the west, Bosnia and Herzegovina to the northwest, Serbia and its partially recognized breakaway southern province of Kosovo to the northeast and Albania to the southeast. Its capital and largest city is Podgorica. Montenegro is divided into twenty-one municipalities (opstina), and two urban municipalities, subdivisions of Podgorica municipality.']","['Crna Gora {language: Montenegrin}', 'Republic of Montenegro']","","","","","","","","","","['Montenegro']",1,1,38.97037689393414,38.97037689393414,38.97037689393414,""
"http://purl.obolibrary.org/obo/GAZ_00000464","['Europe']","","","","","['LanguaL curation note: US FDA 1995 Code:  QR']","","","","['europe']","","","","","['North Macedonia', 'Albania', 'Montenegro', 'Serbia']",4,4,8.696547034003734,5.95550933046256,36.1074566167574,""
"http://snomed.info/id/14679004","['Occupation (occupation)']","['Job', 'Occupations', 'Profession']","['Occupation']","","","","","","","","","","","","['occupation']",1,1,30.603001237058496,30.603001237058496,30.603001237058496,""
"http://snomed.info/id/223369002","['Country (geographic location)']","['Countries']","['Country']","","","","","","","","","","","","['country']",1,3,29.703008736805057,20.04688459472418,27.872971239077334,""
"http://purl.obolibrary.org/obo/SO_0000001","['region']","","","['A sequence_feature with an extent greater than zero. A nucleotide region is composed of bases and a polypeptide region is composed of amino acids.']","['sequence']","","","","","['primary structure of sequence macromolecule', 'sequence']","['region']","","","","['region']",1,1,26.188863737433852,26.188863737433852,26.188863737433852,""
"http://purl.obolibrary.org/obo/FOODON_03520357","['europe, eastern']","","","","","['LanguaL curation note: US FDA 1995 Code:  QR02']","","","","","","","","","['Albania', 'Serbia']",2,2,11.017261414322187,9.99821056689822,24.618482165765702,""
