"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_related_synonym","oio_exact_synonym","iao_alternative_term","oio_narrow_synonym","rdf_comment","apollo_label","iao_preferred_label","obi_isa_term","iedb_alternative_term","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/CHMO_0000701","['liquid chromatography-tandem mass spectrometry']","","","['A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series.']","","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","","","","","","","","['liquid chromatography-electrospray tandem mass spectrometry']",1,1,103.67552234093549,103.67552234093549,103.67552234093549
"http://purl.obolibrary.org/obo/CHMO_0000575","['tandem mass spectrometry']","","","['Mass spectrometry involving multiple mass-selection steps, with some form of fragmentation occurring between each stage.']","","['double mass spectrometry', 'MS-MS', 'MS/MS', 'MS2', 'tandem mass spectroscopy', 'tandem MS', 'tandem-MS']","","","","","","","","","['liquid chromatography-electrospray tandem mass spectrometry', 'ms/ms']",2,2,31.403932536573986,28.000741568307305,68.94591310267262
"http://purl.obolibrary.org/obo/OBI_0200198","['tandem mass spectrometry']","","","['Tandem mass spectrometry is a data transformation that uses two or more analyzers separated by a region in which ions can be induced to fragment by transfer of energy (frequently by collision with other molecules).']","","","","","","","['tandem mass spectrometry']","","","","['liquid chromatography-electrospray tandem mass spectrometry']",1,1,51.83776117046774,51.83776117046774,51.83776117046774
"http://purl.obolibrary.org/obo/PATO_0000033","['concentration of']","","","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","","['concentration']","","","","","['concentration of']","","","","['concentration']",1,1,32.13531164632154,32.13531164632154,32.13531164632154
"http://purl.obolibrary.org/obo/CHMO_0000524","['liquid chromatography-mass spectrometry']","","","['A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance.']","","['iquid chromatography/mass spectrometry', 'LC MS', 'LC-MS', 'LC/MS', 'LCMS', 'liquid chromatography mass spectrometry']","","","","","","","","","['liquid chromatography-electrospray tandem mass spectrometry']",1,1,27.77916838990081,27.77916838990081,27.77916838990081
"http://purl.obolibrary.org/obo/CHMO_0002742","['elution']","","","['A process wherein one material is extracted from another by interaction with a solvent.']","","","","","","","","","","","['elution']",1,2,22.530423377745453,22.530423377745453,27.738204871807014
"http://purl.obolibrary.org/obo/FOODON_03315904","['sausage (formed)']","","","","","['sausage']","['sausages']","","[""SIREN DB annotation:\n\n* has quality 'whole, shape achieved by forming' (http://purl.obolibrary.org/obo/FOODON_03430147)\n\n* derives from 'meat part of animal' (http://purl.obolibrary.org/obo/FOODON_03420103)\n\n* has substance added  'flavoring, spice or herb added' (http://purl.obolibrary.org/obo/FOODON_03460227)""]","","","","","","['sausage']",1,1,26.171133226036055,26.171133226036055,26.171133226036055
"http://purl.obolibrary.org/obo/FOODON_00001038","['pork meat food product']","","","['A food product made from domestic pig meat (Sus domesticus or Sus scrofa scrofa).']","","['pork']","","","","","","","","","['pork']",1,1,22.32078662782226,22.32078662782226,22.32078662782226
"http://purl.obolibrary.org/obo/XCO_0000229","['steroid hormone']","","","['A condition in which the main influencing factor is a chemical substance the structure of which is based on the basic 17-carbon-atom ring system steroid nucleus but may or may not have the characteristic arrangement of four fused cycloalkane rings, and which is produced in its endogenous state by an organ, cells of an organ or scattered cells, having a specific regulatory affect on the activity of an organ or tissue.']","","","","","","","","","","","['steroid hormone']",1,5,13.981948347876877,13.573541596254126,21.998049728452855
"http://purl.obolibrary.org/obo/FOODON_00001282","['ground beef food product']","","","['A ground beef product is made of beef that has been finely chopped with a knife or a meat grinder (American English) or mincing machine (British English). Ground beef is used in many recipes including hamburgers and spaghetti Bolognese.']","","['beef mince', 'hamburger meat', 'minced beef', 'beef mince', 'ground beef']","","","","","","","","","['beef']",1,1,21.4846440632643,21.4846440632643,21.4846440632643
