"uri","iao_definition","label","chebi_formula","oio_exact_synonym","oio_related_synonym","rdf_comment","skos_alt_label","skos_pref_label","iao_preferred_label","iao_alternative_term","skos_definition","oio_broad_synonym","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","iao_nl_axiom","oio_narrow_synonym"
"http://purl.obolibrary.org/obo/BFO_0000015","['An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])', 'An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])']","['process', 'process']","","","","","","","","","","","","['process']",1,6,29.68544199048657,29.340102227095173,50.223502664341076,"","",""
"http://purl.obolibrary.org/obo/PATO_0001025","[""A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts.""]","['pressure']","","","","","","","['pressure']","","","","","['pressure']",1,1,39.75154755589051,39.75154755589051,39.75154755589051,"","",""
"http://purl.obolibrary.org/obo/FOODON_00003368","['Food contact materials are materials that are intended to be in contact with food. These can be things that are quite obvious like a glass or a can for soft drinks as well as machinery in a food factory or a coffee machine.']","['food contact material']","","","","","","","","","","","","['food contact material', 'Food Contact Materials']",2,3,17.15361530915748,13.446501179491003,37.39173923720878,"","",""
"http://purl.obolibrary.org/obo/ENVO_09200001","['The temperature of a air.', 'The temperature of some air.']","['temperature of air']","","['air temperature']","","","","","","","","","","['temperature']",1,2,30.002888703940464,29.997536761342282,36.9312997978353,"","",""
"http://purl.obolibrary.org/obo/OBI_0302893","['A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability', 'A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability.']","['storage', 'storage']","","","","","","","['storage']","","","","","['storage']",1,1,30.05193118721609,30.05193118721609,30.05193118721609,"","",""
"http://purl.obolibrary.org/obo/CHEBI_15377","['An inorganic hydroxy compound that has formula H2O.', 'An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms.']","['water', 'Water']","['H2O']","['oxidane', 'water', 'Water', 'WATER']","['[H]O[H]', '[OH2]', 'acqua', 'agua', 'aqua', 'BOUND WATER', 'dihydridooxygen', 'dihydrogen oxide', 'eau', 'H2O', 'HOH', 'hydrogen hydroxide', 'InChI=1S/H2O/h1H2', 'InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N', 'Wasser']","","","","['water']","","","","","['water']",1,1,28.68442646019852,28.68442646019852,28.68442646019852,"","",""
"http://purl.obolibrary.org/obo/CHEBI_53259","['A macromolecule composed of repeating ethylene terephthalate units.']","['poly(ethylene terephthalate) macromolecule']","['(C10H8O5)n']","['poly(ethylene terephthalate)', 'poly(oxyethyleneoxyterephthaloyl)']","['poly(ethylene terephthalate)', 'Ethylene terephthalate oligomer', 'Ethylene terephthalate polymer', 'Lavsan', 'Pegoterato', 'Pegoteratum', 'PETE', 'Poly(ethylene terephthalate)', 'Poly(ethylene terephthalate) glycol', 'Poly(oxy-1,2-ethanediyloxycarbonyl-1,4-phenylenecarbonyl)', 'Poly(oxyethyleneoxyterephthaloyl)', 'polyethylene terephthalate', 'Polyethylene terephthalate', 'Polyethylene terephthalate film', 'polyethyleneterephthalate', 'Terephtahlic acid-ethylene glycol polyester']","","","","","","","","","['poly(ethylene terephthalate)(PET )']",1,1,23.027512530859337,23.027512530859337,23.027512530859337,"","",""
"http://purl.obolibrary.org/obo/FOODON_00002403","['Any substance that can be consumed by an organism to satisfy nutritional or other health needs, or to provide a social or organoleptic food experience']","['food material']","","['food', 'foodstuff', 'nourishment', 'sustenance']","","","","","","","","","['food']","['foodstuff']",1,1,17.742123976293566,17.742123976293566,17.742123976293566,"","",""
"http://purl.obolibrary.org/obo/FOODON_03490214","","['bottle']","","","","","","","","","","","","['bottle']",1,1,16.106590575399313,16.106590575399313,16.106590575399313,"","",""
"http://purl.obolibrary.org/obo/FOODON_00003194","['A food product not including meat and animal tissue products (such as gelatin or animal-derived rennet).']","['vegetarian food product']","","['vegetarian food']","","","","","","","","","","['food']",1,2,11.782465990199686,11.782465990199686,14.505917179260821,"","",""
"http://purl.obolibrary.org/obo/ENVO_01000741","['A process in which some input bearing a waste role is consumed to produce an output which bears a resource role.']","['recycling process']","","","","[""This has been created for SDGIO. Revision is likely, but the general meaning should be stable. The frame of reference for determining what is 'waste' and what is a  'resource' is unclear.""]","","","","","","","","['recycling process', 'recycling process Sky‐Light MPR', 'recycle']",3,5,6.780339103493865,2.922081294074688,14.207070975944001,"","",""
"http://purl.obolibrary.org/obo/ENVO_09200000","['The temperature of a environmental material.', 'The temperature of some environmental material.']","['temperature of environmental material']","","['environmental material temperature']","","","","","","","","","","['temperature']",1,2,10.789385211164845,10.787460590809465,13.280921840553523,"","",""
"http://purl.obolibrary.org/obo/PATO_0001029","[""A physical quality inhering in a bearer by virtue of ratio of the bearer's output to the bearer's input.""]","['efficiency']","","","","","","","","","","","","['efficiency']",1,1,13.163121225339108,13.163121225339108,13.163121225339108,"","",""
"http://snomed.info/id/24484000","","['Severe (severity modifier) (qualifier value)']","","","","","['Gravis', 'High grade', 'Severe (severity modifier)', 'Severely']","['Severe']","","","","","","['severe']",1,1,11.982406129657457,11.982406129657457,11.982406129657457,"","",""
"http://purl.obolibrary.org/obo/ENVO_01000426","['A building part which is separated from other building parts by one or more interior walls and, optionally, outdoor areas by one or more exterior walls.']","['room']","","","","","","","","","","","","['room']",1,1,11.54491433518345,11.54491433518345,11.54491433518345,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33232","['Intended use of the molecular entity or part thereof by humans.']","['application']","","","","","","","","","","","","['application']",1,1,11.340923713528522,11.340923713528522,11.340923713528522,"","",""
"http://purl.obolibrary.org/obo/OBI_0000838","['a process with that achieves the objective to maintain some or all of the characteristics of an input material over time', 'A process with that achieves the objective to maintain some or all of the characteristics of an input material over time.']","['material maintenance']","","","","","","","['material maintenance']","","","","","['storage']",1,1,10.80702145442776,10.80702145442776,10.80702145442776,"","",""
"http://purl.obolibrary.org/obo/FOODON_03490172","['Corresponds to FSTA Thesaurus Packaging 2.2.1 Plastic container.']","['plastic container']","","","","","","","","","","","","['plastic']",1,1,10.623077080328494,10.623077080328494,10.623077080328494,"","",""
"http://purl.obolibrary.org/obo/PATO_0001018","['A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.']","['physical quality']","","['relational physical quality']","","","","","['physical quality']","","","","","['pressure', 'efficiency']",2,2,6.261735051549437,4.167606755217453,10.261851547409004,"","",""
"http://purl.obolibrary.org/obo/HP_0012658","['An anomaly detectable in [18F]-fluorodeoxyglucose (FDG) positron emission tomography (PET) brain scans. Glucose uptake measured with FDG-PET is a marker of neuronal metabolic activity.']","['Abnormal brain FDG positron emission tomography']","","['Abnormal brain FDG PET scan']","","","","","","","","","","['PET']",1,6,5.831922029520086,5.831907617849893,9.982883683097299,"","",""
"http://purl.obolibrary.org/obo/CHEBI_52625","","['inorganic hydroxy compound']","","","['inorganic hydroxides']","","","","","","","","","['water']",1,1,9.462331907553818,9.462331907553818,9.462331907553818,"","",""
"http://purl.obolibrary.org/obo/IAO_0000318","['A part of a publication about an investigation that is about a study design execution']","['results section']","","","","","","","['results section']","['results']","","","","['result']",1,1,7.974113571504554,7.974113571504554,7.974113571504554,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33693","","['oxygen hydride']","","['oxygen hydride']","['hydrides of oxygen', 'oxygen hydrides']","","","","","","","","","['water']",1,1,6.985514033400418,6.985514033400418,6.985514033400418,"","",""
