"uri","label","skos_pref_label","iao_definition","oio_exact_synonym","oio_related_synonym","rdf_comment","iao_preferred_label","skos_alt_label","oio_broad_synonym","chebi_formula","iao_alternative_term","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym","apollo_label","obo_relational_adjective"
"http://purl.obolibrary.org/obo/OBI_0302893","['storage', 'storage']","","['A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability', 'A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability.']","","","","['storage']","","","","","","['storage']",1,3,29.828276475852363,29.82786867198404,41.47234557513179,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_1121126","['Brochothrix thermosphacta DSM 20171 = FSL F6-1036']","","","['Brochothrix thermosphacta FSL F6-1036 = DSM 20171']","['Brochothrix thermosphacta ATCC 11509', 'Brochothrix thermosphacta DSM 20171', 'Brochothrix thermosphacta FSL F6-1036', 'Brochothrix thermosphacta NBRC 12167', 'Brochothrix thermosphacta NCDO 1676']","","","","","","","","['Brochothrix thermosphacta', 'thermosphacta']",2,3,14.14564248130425,9.05288972787699,25.17407967540861,"","",""
"http://purl.obolibrary.org/obo/FOODON_00001282","['ground beef food product']","","['A ground beef product is made of beef that has been finely chopped with a knife or a meat grinder (American English) or mincing machine (British English). Ground beef is used in many recipes including hamburgers and spaghetti Bolognese.']","['beef mince', 'hamburger meat', 'minced beef', 'beef mince', 'ground beef']","","","","","","","","","['beef']",1,3,17.454510796110128,17.41093175374478,24.207970955516124,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_2","['Bacteria', 'Bacteria']","","","['Bacteria <prokaryote>', 'eubacteria']","['bact-', 'bacteria', 'Monera', 'not Bacteria Haeckel 1894', 'Procaryotae', 'Prokaryota', 'Prokaryotae', 'prokaryote', 'prokaryotes']","","['Bacteria']","","","","['eubacteria']","","['bacteria']",1,1,19.558854189975932,19.558854189975932,19.558854189975932,"","",""
"http://snomed.info/id/85378003","['Bromine (substance)']","['Bromine']","","","","","","['Br - Bromine']","","","","","['br .', 'br']",2,2,8.08764325773668,6.827878593258795,16.812209170175823,"","",""
"http://purl.obolibrary.org/obo/OBI_0000838","['material maintenance']","","['a process with that achieves the objective to maintain some or all of the characteristics of an input material over time', 'A process with that achieves the objective to maintain some or all of the characteristics of an input material over time.']","","","","['material maintenance']","","","","","","['storage']",1,3,10.72659263775591,10.726445986776087,14.913934335992018,"","",""
"http://snomed.info/id/8191000","['Genus Clostridium (organism)']","['Clostridium']","","","","","","['Clostridium species', 'Genus Clostridium']","","","","","['clostridium']",1,1,12.734188587022034,12.734188587022034,12.734188587022034,"","",""
"http://purl.obolibrary.org/obo/ENVO_09200001","['temperature of air']","","['The temperature of a air.', 'The temperature of some air.']","['air temperature']","","","","","","","","","['temperature']",1,2,9.755771349035037,9.713596949817445,11.958840618251967,"","",""
"http://purl.obolibrary.org/obo/GO_0040007","['growth']","","['The increase in size or mass of an entire organism, a part of an organism or a cell.']","","['growth pattern', 'non-developmental growth']","[""See also the biological process term 'cell growth ; GO:0016049'.""]","","","","","","","['growth']",1,3,8.003317074234037,7.9934241236478725,11.11397033526194,"","",""
"http://purl.obolibrary.org/obo/IAO_0000224","['core', 'obsolete_core']","","['Core is an instance of a grouping of terms from an ontology or ontologies. It is used by the ontology to identify main classes.']","","","","","","","","","","['core']",1,1,10.54418189182294,10.54418189182294,10.54418189182294,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_2756","['Brochothrix thermosphacta']","","","","['Microbacterium thermosphactum']","","","","","","","","['Brochothrix thermosphacta', 'thermosphacta']",2,3,5.7449160017189715,3.676615687708417,10.223853271206723,"","",""
"http://purl.obolibrary.org/obo/AGRO_00000369","['experiment']","","['A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.']","['trial']","","","","","","","","","['experiment']",1,1,9.693722996337115,9.693722996337115,9.693722996337115,"","",""
"http://purl.obolibrary.org/obo/FOODON_03305517","['beef carcass']","","","","","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* derives from 'animal body or body part' (http://purl.obolibrary.org/obo/FOODON_03420127)""]","","","","","","","['beef carcass']",1,1,9.168998684302823,9.168998684302823,9.168998684302823,"","",""
"http://purl.obolibrary.org/obo/CHMO_0002354","['pH measurement']","","['The measurement of pH, the negative logarithm to base ten of the hydrogen ion activity in a solution. Operationally the pH of a solution X, pH(X), is measured relative to that of a standard reference solution, pH(S), and defined as pH(X) = pH(S) - (E(X) - E(S))/(RT/F)ln 10, where E(X) and E(S) are the electromotive forces measured in cells containing the solution X and the reference solution respectively.']","['measurement of pH', 'pH sensing', 'sensing of pH']","","","","","","","","","['ph']",1,2,7.165557082903414,6.808992885766514,8.382853551816725,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_Union_0000000","['Viridiplantae or Bacteria']","","","","","","","","","","","","['bacteria']",1,1,7.943363092895075,7.943363092895075,7.943363092895075,"","",""
"http://snomed.info/id/707239006","['Corynebacterium spp toxin (substance)']","['Corynebacterium spp toxin']","","","","","","","","","","","['clostridium spp .', 'clostridium spp']",2,2,3.1669262553457487,3.1639905267557484,7.790658521783158,"","",""
