"uri","label","skos_pref_label","skos_alt_label","iao_definition","iao_preferred_label","iao_alternative_term","oio_exact_synonym","oio_synonym","rdf_comment","oio_related_synonym","chebi_formula","oio_broad_synonym","obo_taxon_notes","oio_narrow_synonym","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom"
"http://purl.obolibrary.org/obo/OBI_0000181","['population']","","","['a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area']","['population']","","","","","","","","","","","","['population']",1,3,24.01620069583089,21.786515569462676,30.29173530669985,""
"http://purl.obolibrary.org/obo/GAZ_00002845","['China']","","","[""A large country in Northeast Asia. China borders 14 nations (counted clockwise from south): Vietnam, Laos, Burma, India, Bhutan, Nepal, Pakistan, Afghanistan, Tajikistan, Kyrgyzstan, Kazakhstan, Russia, Mongolia and North Korea. Additionally the border between PRC and ROC is located in territorial waters. The People's Republic of China has administrative control over twenty-two provinces and considers Taiwan to be its twenty-third province. There are also five autonomous regions, each with a designated minority group; four municipalities; and two Special Administrative Regions that enjoy considerable autonomy. The People's Republic of China administers 33 province-level regions, 333 prefecture-level regions, 2,862 county-level regions, 41,636 township-level regions, and several village-level regions.""]","","['china, peoples republic of']","[""People's Republic of China"", 'Zhonghua Renmin Gongheguo']","['peoples republic of china']","['LanguaL curation note: US FDA 1995 Code:  CN']","","","","","","","","['China']",1,3,19.41004346430076,19.403123882040422,26.977893315886988,""
"http://purl.obolibrary.org/obo/CHEBI_9506","['tetrodotoxin']","","","['A quinazoline alkaloid that is a marine toxin isolated from fish such as puffer fish. It has been shown to exhibit potential neutotoxicity due to its ability to block voltage-gated sodium channels.']","","","['(1R,5R,6R,7R,9S,11R,12R,13S,14S)-14-(hydroxymethyl)-3-imino-8,10-dioxa-2,4-diazatetracyclo[7.3.1.1(7,11).0(1,6)]tetradecane-5,9,12,13,14-pentol', 'Tetrodotoxin']","","","['fugu poison', 'maculotoxin', 'octahydro-12-(hydroxymethyl)-2-imino-5,9:7,10a-dimethano-10aH-[1,3]dioxocino[6,5-d]pyrimidine-4,7,10,11,12-pentol', 'spheroidine', 'tarichatoxin', 'tetrodontoxin', 'TTX']","['C11H17N3O8']","","","","","","['tetrodotoxin', 'ttx']",2,2,14.350528716032386,9.320597994850813,22.950004300788812,""
"http://purl.obolibrary.org/obo/CHEBI_18295","['histamine', 'Histamine']","","","['A member of the class of imidazoles that is 1H-imidazole substituted at position C-4 by a 2-aminoethyl group.', 'An aralkylamine that has formula C5H9N3.', 'An aralkylamino compound that has formula C5H9N3.']","","","['2-(1H-imidazol-4-yl)ethanamine', 'Histamine', 'HISTAMINE']","","","['1H-Imidazole-4-ethanamine', '2-(4-Imidazolyl)ethylamine', 'C5H9N3', 'InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)', 'InChIKey=NTYJJOPFIAHURM-UHFFFAOYSA-N', 'NCCc1c[nH]cn1']","['C5H9N3']","","","","","","['histamine']",1,1,19.736839786079013,19.736839786079013,19.736839786079013,""
"http://purl.obolibrary.org/obo/FOODON_03411335","['crab']","","","['Crabs are decapod crustaceans of the infraorder *Brachyura*, which typically have a very short projecting ""tail"", usually entirely hidden under the thorax. They live in all the world\'s oceans, in fresh water, and on land, are generally covered with a thick exoskeleton and have a single pair of claws. Many other animals with similar names - such as hermit crabs, king crabs, porcelain crabs, horseshoe crabs, and crab lice - are not true crabs. \n\n Crabs are generally covered with a thick exoskeleton, composed primarily of highly mineralized chitin, and armed with a single pair of chelae (claws). Crabs are found in all of the world\'s oceans, while many crabs live in fresh water and on land, particularly in tropical regions. [https://en.wikipedia.org/wiki/Crab]']","","","","['brachyura', 'short-tailed crabs', 'true crabs']","","","","","","","","","['crab']",1,1,19.627507944975278,19.627507944975278,19.627507944975278,""
"http://purl.obolibrary.org/obo/FOODON_03413362","['marine fish']","","","['Oceanodromous fish migrate within salt water only']","","","","['oceanodromous fish']","","","","","","","","","['marine fish']",1,1,18.784640673272317,18.784640673272317,18.784640673272317,""
"http://purl.obolibrary.org/obo/GAZ_00010888","['Ningbo City Prefecture']","","","['A sub-provincial prefecture in northeastern Zhejiang Province. Lying south of the Hangzhou Bay, and facing the East China Sea to the east, Ningbo borders Shaoxing to the west and Taizhou to the south, and is separated from Zhoushan by a narrow body of water.']","","","['Ning-po', 'Ningbo Shi {language: Chinese}']","","","","","","","","","","['Yinzhou', 'Ningbo', 'Haishu', 'Jiangdong', 'Zhenhai', 'Beilun', 'Jiangbei']",7,8,4.011298592473454,1.368946396596085,17.881810123374095,""
"http://purl.obolibrary.org/obo/PATO_0001323","['area']","","","[""A 2-D extent quality inhering in a bearer by virtue of the bearer's two dimensional extent.""]","","","","","","","","","","","","","['area']",1,2,14.526357532788227,14.522216964409866,17.878946285115976,""
"http://purl.obolibrary.org/obo/CHEBI_35581","['indole']","","","['Either of two isomeric forms comprising a benzene ring fused to a pyrrole ring.']","","","['indole']","","","","['C8H7N']","","","","","","['indole']",1,1,16.927903957840083,16.927903957840083,16.927903957840083,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000121","['species']","","","","","","","","","","","","","","['species']","['an interbreeding population']","['specie']",1,1,12.497175534666363,12.497175534666363,12.497175534666363,""
