"uri","iao_definition","oio_related_synonym","label","oio_exact_synonym","rdf_comment","obo_external_definition","obo_relational_adjective","obo_taxon_notes","oio_narrow_synonym","obo_homology_notes","skos_pref_label","skos_alt_label","iao_preferred_label","iao_alternative_term","skos_definition","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","obo_external_ontology_notes","iao_nl_axiom","oio_broad_synonym"
"http://purl.obolibrary.org/obo/CHEBI_50795","['A nanometre sized object.']","['nanoestructura']","['nanostructure']","","","","","","","","","","","","","","","['quantum dot', 'Quantum dot', 'nanostructured']",3,3,14.572517384682946,6.184285287829049,25.795689871024543,"","",""
"http://purl.obolibrary.org/obo/CHEBI_50853","['A nanometre sized semiconducting particle, whose excitons (electron-hole pairs) are confined in three spatial dimensions.']","['point quantique', 'punto cuantico', 'QD', 'Quantenpunkt']","['quantum dot']","","","","","","","","","","","","","","","['quantum dot', 'Quantum dot']",2,2,11.169662362945031,8.592172959369831,21.156411474842848,"","",""
"http://purl.obolibrary.org/obo/CHMO_0000003","['The use of an electrochemical cell to measure a qualitative or quantitative response.']","","['electrochemical analysis']","['electroanalytical method', 'electrochemical assay', 'electrochemical method']","","","","","","","","","","","","","","['electrochemical strategy', 'electrochemical methodology', 'electrochemical platform', 'method']",4,4,10.982147466478242,3.297517420545032,19.99240713070696,"","",""
"http://purl.obolibrary.org/obo/OBI_0500000","['A plan specification comprised of protocols (which may specify how and what kinds of data will be gathered) that are executed as part of an investigation and is realized during a study design execution.']","","['study design']","","","","","","","","","","['study design']","['experimental design']","","","","['design', 'electrochemical platform design', 'reproducibility']",3,3,8.13026677019097,2.7487578654506333,11.465529503829705,"","",""
"http://purl.obolibrary.org/obo/OBI_0000395","['A signal amplification function is a signal conversion function to inject energy into an input signal so as to produce an output signal with increased differential magnitude while also seeking to minimize increases in the signal to noise ratio. For example, to produce a 0.1 KW output signal from a 1 mW RMS input signal.']","","['signal amplification function']","","","","","","","","","","['signal amplification function']","","","","","['signal amplification']",1,1,8.173427780174839,8.173427780174839,8.173427780174839,"","",""
"http://purl.obolibrary.org/obo/ENVO_02500036","['An environmental system process that results in the introduction of contaminants into an environment.']","","['environmental pollution']","['pollution']","['Pollutants may be material or immaterial (e.g. heat energy)']","","","","","","","","","","","","","['pollutant']",1,1,7.4054165232965525,7.4054165232965525,7.4054165232965525,"","",""
"http://purl.obolibrary.org/obo/NBO_0020108","['Behavior that signifies hostility and predicts an increased probability of attack.']","","['threat']","","","","","","","","","","","","","","","['threat']",1,1,6.241727882494318,6.241727882494318,6.241727882494318,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_941942","","","['environmental samples <chimaeras>']","['environmental samples']","","","","","","","","","","","","","","['environmental sample']",1,1,6.097224840460063,6.097224840460063,6.097224840460063,"","",""
"http://purl.obolibrary.org/obo/CHEBI_36914","","['inorganic ions']","['inorganic ion']","","","","","","","","","","","","","","","['inorganic']",1,1,5.69851012239464,5.69851012239464,5.69851012239464,"","",""
"http://purl.obolibrary.org/obo/CHMO_0002467","['The component of a system to be analysed.']","","['analyte']","","","","","","","","","","","","","","","['analyte']",1,1,4.8530488381648125,4.8530488381648125,4.8530488381648125,"","",""
"http://snomed.info/id/276746005","","","['Environmental event (event)']","","","","","","","","['Environmental event']","['Environmental events']","","","","","","['environmental']",1,1,4.467290785441179,4.467290785441179,4.467290785441179,"","",""
"http://snomed.info/id/102411008","","","['Environmental pollution (event)']","","","","","","","","['Environmental pollution']","","","","","","","['environmental']",1,1,3.9188480965659025,3.9188480965659025,3.9188480965659025,"","",""
