"uri","iao_definition","oio_exact_synonym","label","apollo_label","iao_preferred_label","iao_elucidation","rdf_comment","oio_related_synonym","skos_alt_label","skos_pref_label","iao_alternative_term","iao_nl_axiom","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym","iao_obo_unique_label","oio_broad_synonym","oio_narrow_synonym"
"http://purl.obolibrary.org/obo/PATO_0000165","['A quality in which events occur in sequence.']","","['time']","","['time']","","","","","","","","['time']",1,3,43.99509747201404,43.991859925690505,61.16580562273452,"","","",""
"http://purl.obolibrary.org/obo/BFO_0000019","","","['quality', 'quality']","","['quality']","['a quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized. (axiom label in BFO2 Reference: [055-001])']","","","","","","['If an entity is a quality at any time that it exists, then it is a quality at every time that it exists. (axiom label in BFO2 Reference: [105-001])']","['quality']",1,1,33.65301926732813,33.65301926732813,33.65301926732813,"","","",""
"http://snomed.info/id/61420007","","","['Tube feeding of patient (regime/therapy)']","","","","","","['Enteral tube feeding', 'Gavage', 'TF - Tube feeding', 'Tube feeding']","['Tube feeding of patient']","","","['enteral tube', 'tube feeding', 'enteral tube feeding']",3,3,8.634199794050911,6.116236320210618,25.51184622814101,"","","",""
"http://purl.obolibrary.org/obo/OBI_0000844","['A medical organization at which sick or injured people are given clinical care']","","['hospital']","","['hospital']","","","","","","","","['hospital']",1,2,22.262604932942853,16.728322332175466,20.594980583890827,"","","",""
"http://purl.obolibrary.org/obo/ENVO_09200001","['The temperature of a air.', 'The temperature of some air.']","['air temperature']","['temperature of air']","","","","","","","","","","['temperature']",1,1,16.818044309049693,16.818044309049693,16.818044309049693,"","","",""
"http://purl.obolibrary.org/obo/UO_0000021","['A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg.']","['g']","['gram']","","['gram']","","['""A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg."" [NIST:NIST]']","","","","['g']","","['gram']",1,1,13.904812915808522,13.904812915808522,13.904812915808522,"","","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000032","['A measurement datum that is the output of counting.']","","['count']","['count']","","['A measurement datum that is the output of counting.']","","","","","","","['count']",1,2,11.289050520861284,11.289050301452868,13.898451210603442,"","","",""
"http://snomed.info/id/257320001","","","['Standard plate (physical object)']","","","","","","","['Standard plate']","","","['standard plate', 'standard plate count']",2,4,5.757650511202708,4.4742819861859635,13.563486659402225,"","","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000186","['The process of existence without reproduction of a pathogen of a particular biological taxon in or on some material entity or the process of reproduction of a pathogen in or on a material entity that is not an organism.']","","['contamination']","['Contamination']","['biological contamination']","['The process of existence without reproduction of a pathogen of a particular biological taxon in or on some material entity or the process of reproduction of a pathogen in or on a material entity that is not an organism.']","['the preferred term is biological contamination to distinguish from things like radiological contamination, contamination of the Gulf of Mexico with oil, the contamination of air with pollution, etc.']","","","","","","['contamination']",1,2,9.256171813431694,9.256171485569467,11.395683813421364,"","","",""
"http://purl.obolibrary.org/obo/PATO_0001018","['A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.']","['relational physical quality']","['physical quality']","","['physical quality']","","","","","","","","['time']",1,3,6.930186643664945,6.929676659562651,9.634947381246837,"","","",""
